rel_path,size_mb,h5py_open,is_symlink,error,total_items,has_posterior,has_ringdown,has_strain
pca\pca\pca_tiger_GW240925_005809_C01_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,83.71,True,False,,764,False,False,True
pca\pca\pca_tiger_GW250207_115645_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,40.25,True,False,,577,False,False,True
pca\pca\pca_tiger_GW250207_115645_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,106.84,True,False,,764,False,False,True
pseobnr\pseobnr\22_NoCal_ftau.h5,0.31,True,False,,2,False,False,False
pseobnr\pseobnr\22_WideCal_ftau.h5,0.31,True,False,,2,False,False,False
qnmrf\qnmrf\QNMRF_GW250207_Hanford_220_t=8.0M.h5,0.95,True,False,,1,False,False,False
qnmrf\qnmrf\QNMRF_GW250207_Livingston_220_t=8.0M.h5,0.95,True,False,,1,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_db_1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\db_1\samples\tiger_GW240925_db_1.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_db_2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\db_2\samples\tiger_GW240925_db_2.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_db_3.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\db_3\samples\tiger_GW240925_db_3.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_db_4.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\db_4\samples\tiger_GW240925_db_4.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_0.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_0\samples\tiger_GW240925_dchi_0.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_1\samples\tiger_GW240925_dchi_1.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_2\samples\tiger_GW240925_dchi_2.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_3.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_3\samples\tiger_GW240925_dchi_3.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_4.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_4\samples\tiger_GW240925_dchi_4.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_5l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_5l\samples\tiger_GW240925_dchi_5l.h5,0,False,False,False
