source_path,source_archive,target_path,target_basename,classification,resolution_details,target_in_release
tiger/GW240925_no_cal/tiger_GW240925_dchi_6.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_6//samples/tiger_GW240925_dchi_6.h5,tiger_GW240925_dchi_6.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_6.h5, tiger/GW240925_cal/tiger_GW240925_dchi_6.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dchi_7.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_7//samples/tiger_GW240925_dchi_7.h5,tiger_GW240925_dchi_7.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_7.h5, tiger/GW240925_cal/tiger_GW240925_dchi_7.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dchi_6l.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_6l//samples/tiger_GW240925_dchi_6l.h5,tiger_GW240925_dchi_6l.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_6l.h5, tiger/GW240925_cal/tiger_GW240925_dchi_6l.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dc_1.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dc_1//samples/tiger_GW240925_dc_1.h5,tiger_GW240925_dc_1.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dc_1.h5, tiger/GW240925_cal/tiger_GW240925_dc_1.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_db_4.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/db_4//samples/tiger_GW240925_db_4.h5,tiger_GW240925_db_4.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_db_4.h5, tiger/GW240925_cal/tiger_GW240925_db_4.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dc_2.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dc_2//samples/tiger_GW240925_dc_2.h5,tiger_GW240925_dc_2.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dc_2.h5, tiger/GW240925_cal/tiger_GW240925_dc_2.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_db_2.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/db_2//samples/tiger_GW240925_db_2.h5,tiger_GW240925_db_2.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_db_2.h5, tiger/GW240925_cal/tiger_GW240925_db_2.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_db_3.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/db_3//samples/tiger_GW240925_db_3.h5,tiger_GW240925_db_3.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_db_3.h5, tiger/GW240925_cal/tiger_GW240925_db_3.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_db_1.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/db_1//samples/tiger_GW240925_db_1.h5,tiger_GW240925_db_1.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_db_1.h5, tiger/GW240925_cal/tiger_GW240925_db_1.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dc_4.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dc_4//samples/tiger_GW240925_dc_4.h5,tiger_GW240925_dc_4.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dc_4.h5, tiger/GW240925_cal/tiger_GW240925_dc_4.h5",MAYBE
