full_path,relative_path,parent,filename,extension,entry_type,size_bytes,size_mb,modified_time,attributes,link_target,link_target_exists,byte_open_ok,byte_open_error,category,notes
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchiMinus2.h5,fti\fti\S240925n_correct_cal\fti_dchiMinus2.h5,fti\fti\S240925n_correct_cal,fti_dchiMinus2.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchiMinus2\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchi0.h5,fti\fti\S240925n_no_cal\fti_dchi0.h5,fti\fti\S240925n_no_cal,fti_dchi0.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi0-1\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchi1.h5,fti\fti\S240925n_no_cal\fti_dchi1.h5,fti\fti\S240925n_no_cal,fti_dchi1.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi1\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchi2.h5,fti\fti\S240925n_no_cal\fti_dchi2.h5,fti\fti\S240925n_no_cal,fti_dchi2.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi2\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchi3NS.h5,fti\fti\S240925n_no_cal\fti_dchi3NS.h5,fti\fti\S240925n_no_cal,fti_dchi3NS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi3NS\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchi4NS.h5,fti\fti\S240925n_no_cal\fti_dchi4NS.h5,fti\fti\S240925n_no_cal,fti_dchi4NS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi4NS\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchi5lNS.h5,fti\fti\S240925n_no_cal\fti_dchi5lNS.h5,fti\fti\S240925n_no_cal,fti_dchi5lNS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi5lNS\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchi6l.h5,fti\fti\S240925n_no_cal\fti_dchi6l.h5,fti\fti\S240925n_no_cal,fti_dchi6l.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi6l\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchi6NS.h5,fti\fti\S240925n_no_cal\fti_dchi6NS.h5,fti\fti\S240925n_no_cal,fti_dchi6NS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi6NS\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchi7NS.h5,fti\fti\S240925n_no_cal\fti_dchi7NS.h5,fti\fti\S240925n_no_cal,fti_dchi7NS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi7NS\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal\fti_dchiMinus2.h5,fti\fti\S240925n_no_cal\fti_dchiMinus2.h5,fti\fti\S240925n_no_cal,fti_dchiMinus2.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchiMinus2\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_wide_cal\fti_dchi0.h5,fti\fti\S240925n_wide_cal\fti_dchi0.h5,fti\fti\S240925n_wide_cal,fti_dchi0.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi0-1\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_wide_cal\fti_dchi1.h5,fti\fti\S240925n_wide_cal\fti_dchi1.h5,fti\fti\S240925n_wide_cal,fti_dchi1.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi1\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_wide_cal\fti_dchi2.h5,fti\fti\S240925n_wide_cal\fti_dchi2.h5,fti\fti\S240925n_wide_cal,fti_dchi2.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi2\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_wide_cal\fti_dchi3NS.h5,fti\fti\S240925n_wide_cal\fti_dchi3NS.h5,fti\fti\S240925n_wide_cal,fti_dchi3NS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi3NS\posterior_samples.h5,False,,,HDF5/H5 data,
