det,offset_s,bandpower
H1,704.0,1.4047465787414328e-39
H1,708.0,9.520865476597391e-39
H1,712.0,2.4579492799003223e-39
H1,716.0,3.4771587039016936e-39
H1,720.0,4.634071144732184e-39
H1,724.0,5.652048618911573e-39
H1,728.0,3.3043238236781464e-39
H1,732.0,1.6366385763757736e-39
H1,736.0,5.105848701623178e-39
H1,740.0,8.992500044508628e-39
H1,744.0,3.03783362097024e-39
H1,748.0,5.4826041388140465e-39
H1,752.0,6.284846053675175e-39
H1,756.0,4.0086317458709383e-39
H1,760.0,6.430842154448633e-39
H1,764.0,4.220859190490156e-39
H1,768.0,2.439074834383364e-39
H1,772.0,5.072720774136286e-39
H1,776.0,3.074280998897352e-39
H1,780.0,2.4511315968305947e-39
H1,784.0,1.784073346900812e-39
H1,788.0,1.5922208408973727e-39
H1,792.0,3.243546032276931e-39
H1,796.0,4.009270414800614e-39
H1,800.0,4.8881000022452677e-39
H1,804.0,5.290027690484582e-39
H1,808.0,3.103346348550229e-39
H1,812.0,1.512561662276742e-39
H1,816.0,2.3611300551620452e-39
H1,820.0,5.031200579730822e-39
H1,824.0,3.051659487433383e-39
H1,828.0,8.005339495146177e-39
H1,832.0,4.957423603809505e-39
H1,836.0,3.0144035946529955e-39
H1,840.0,5.494538225638016e-39
H1,844.0,7.339995317079145e-39
H1,848.0,2.804986611766734e-39
H1,852.0,7.349245478984368e-39
H1,856.0,2.5235886490157836e-39
H1,860.0,2.8427519793104274e-39
H1,864.0,4.2550404203626184e-39
H1,868.0,4.0866273124983815e-39
H1,872.0,4.253537384292862e-39
H1,876.0,5.461924285824922e-39
H1,880.0,2.9955072599623146e-39
H1,884.0,3.304782893161608e-39
H1,888.0,3.375266680124816e-39
H1,892.0,6.759179597691471e-39
H1,896.0,8.058994148770361e-39
H1,900.0,5.061965947247461e-39
H1,904.0,4.733906150593007e-39
H1,908.0,5.901689156967346e-39
H1,912.0,6.345200501200361e-39
H1,916.0,5.452956151865751e-39
H1,920.0,1.6449131947393602e-39
H1,924.0,2.973820211015338e-39
H1,928.0,2.226867374706043e-39
H1,932.0,2.2034291771351457e-39
