tag,shift_ms,xcorr,coh,is_physical
OFF_m500,13.184,-0.9964339,0.376966,False
OFF_m500,13.428,-0.9934535,0.353793,False
OFF_m500,13.672,-0.989795,0.336775,False
OFF_m500,13.916,-0.9837907,0.312252,False
OFF_m500,14.16,-0.953027,0.257229,False
OFF_m500,14.404,-0.9093041,0.215112,False
OFF_m500,14.648,-0.4238294,0.042492,False
OFF_m500,14.892,0.6020135,0.144333,False
OFF_m500,15.136,0.9150489,0.248678,False
OFF_m500,15.38,0.9708778,0.303959,False
OFF_m500,15.624,0.9826053,0.331345,False
OFF_m500,15.868,0.9894596,0.355778,False
OFF_m500,16.112,0.992945,0.376396,False
OFF_m500,16.356,0.9946066,0.392942,False
OFF_m500,16.6,0.9957949,0.405665,False
OFF_m500,16.844,0.9968006,0.422476,False
OFF_m500,17.088,0.997254,0.434019,False
OFF_m500,17.332,0.9980036,0.447818,False
OFF_m500,17.576,0.9982838,0.461277,False
OFF_m500,17.82,0.9984559,0.469244,False
OFF_m500,18.064,0.9988414,0.481038,False
OFF_m500,18.308,0.9988723,0.489563,False
OFF_m500,18.552,0.9989889,0.496749,False
OFF_m500,18.796,0.9992037,0.504927,False
OFF_m500,19.04,0.9993023,0.512856,False
OFF_m500,19.284,0.999388,0.520869,False
OFF_m500,19.528,0.999461,0.528669,False
OFF_m500,19.772,0.9995363,0.536677,False
OFF_m500,20.016,0.9995953,0.543841,False
